created_at,Tweets (#),Active Influencers (#),Average SA
2017-10-18 00:00:00,164,41,0.11396127923566947
2017-10-19 00:00:00,121,32,0.13033628790860197
2017-10-20 00:00:00,149,30,0.09993593049381642
2017-10-21 00:00:00,196,31,0.09398831610566308
2017-10-22 00:00:00,143,28,0.11977433551297186
2017-10-23 00:00:00,199,33,0.11085912366063122
2017-10-24 00:00:00,234,37,0.11544169051113494
2017-10-25 00:00:00,366,37,0.09081300662755581
2017-10-26 00:00:00,194,41,0.08486633486311322
2017-10-27 00:00:00,285,41,0.09369885150586901
2017-10-28 00:00:00,189,34,0.10991699878604641
2017-10-29 00:00:00,160,29,0.09053926391895142
2017-10-30 00:00:00,135,31,0.08995697717919943
2017-10-31 00:00:00,201,36,0.08397266313932983
2017-11-01 00:00:00,239,41,0.08962269134863275
2017-11-02 00:00:00,329,38,0.09057821667244158
2017-11-03 00:00:00,242,39,0.13448118284378616
2017-11-04 00:00:00,287,30,0.08722008360074564
2017-11-05 00:00:00,172,31,0.11286877286150543
2017-11-06 00:00:00,217,31,0.11726983462006504
2017-11-07 00:00:00,282,36,0.07199330138603185
2017-11-08 00:00:00,382,42,0.10715703925946075
2017-11-09 00:00:00,245,41,0.11346031746031755
2017-11-10 00:00:00,352,42,0.0759741609137916
2017-11-11 00:00:00,279,39,0.07265898229607905
2017-11-12 00:00:00,304,35,0.0751028874269006
2017-11-13 00:00:00,284,43,0.07812998466387555
2017-11-14 00:00:00,411,46,0.07796448144988291
2017-11-15 00:00:00,337,45,0.09632053008536694
2017-11-16 00:00:00,388,50,0.12657666503027332
2017-11-17 00:00:00,311,41,0.08336684483790592
2017-11-18 00:00:00,157,28,0.11159172480032349
2017-11-19 00:00:00,213,35,0.12584142057733608
2017-11-20 00:00:00,288,38,0.11407637645918893
2017-11-21 00:00:00,279,43,0.12915754985423444
2017-11-22 00:00:00,313,46,0.10412000731489544
2017-11-23 00:00:00,237,45,0.1358278231379497
2017-11-24 00:00:00,236,35,0.10681247503281403
2017-11-25 00:00:00,220,37,0.13809047728365914
2017-11-26 00:00:00,271,38,0.15898642859805215
2017-11-27 00:00:00,303,48,0.115010586406626
2017-11-28 00:00:00,398,53,0.08406378936529693
2017-11-29 00:00:00,497,51,0.11216226084259283
2017-11-30 00:00:00,424,51,0.0976777773240037
2017-12-01 00:00:00,473,49,0.10786278673170856
2017-12-02 00:00:00,363,37,0.08201035343597325
2017-12-03 00:00:00,294,36,0.10432869020624125
2017-12-04 00:00:00,392,49,0.10640680370272212
2017-12-05 00:00:00,377,46,0.091703960152236
2017-12-06 00:00:00,500,52,0.12477551154401154
2017-12-07 00:00:00,379,50,0.0691942940524735
2017-12-08 00:00:00,374,52,0.0911118964344232
2017-12-09 00:00:00,268,49,0.08198107361820048
2017-12-10 00:00:00,335,46,0.09387818932035348
2017-12-11 00:00:00,396,48,0.09951629161382951
2017-12-12 00:00:00,406,50,0.11060017901274055
2017-12-13 00:00:00,372,51,0.07359325606939857
2017-12-14 00:00:00,266,50,0.11222776231704804
2017-12-15 00:00:00,349,52,0.07163107159740398
2017-12-16 00:00:00,253,50,0.07192421343113042
2017-12-17 00:00:00,310,45,0.08726077887166593
2017-12-18 00:00:00,246,46,0.08422782558453289
2017-12-19 00:00:00,370,53,0.0940262096512096
2017-12-20 00:00:00,456,52,0.087641314196687
2017-12-21 00:00:00,556,51,0.10482423195642614
2017-12-22 00:00:00,605,49,0.08880860097967531
2017-12-23 00:00:00,406,47,0.0912819773503271
2017-12-24 00:00:00,520,46,0.11756091836404348
