iter	Passed	Remaining
947	19996	1096
948	20013	1075
949	20063	1055
950	20103	1035
951	20145	1015
952	20201	996
953	20250	976
954	20288	956
955	20335	935
956	20370	915
957	20436	895
958	20456	874
959	20469	852
960	20485	831
961	20523	810
962	20558	789
963	20570	768
964	20585	746
965	20598	725
966	20613	703
967	20639	682
968	20690	661
969	20718	640
970	20738	619
971	20774	598
972	20830	578
973	20939	558
974	21098	540
975	21167	520
976	21276	500
977	21324	479
978	21400	459
979	21543	439
980	21741	421
981	21781	399
982	21819	377
983	22033	358
984	22140	337
985	22179	314
986	22192	292
987	22205	269
988	22217	247
989	22229	224
990	22264	202
991	22284	179
992	22297	157
993	22317	134
994	22334	112
995	22346	89
996	22358	67
997	22379	44
998	22413	22
999	22426	0
